,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,0.0,0.5727095603942871,0.0,64.67200758143184
1,1.0,5.0,11.0,6.482834665809834e-09,0.3937344551086426,1.0,32.51758074276825
2,2.0,5.0,11.0,1.788536863226118e-09,0.46152520179748535,1.0,19.97060269289571
3,3.0,5.0,9.0,3.556565514778058e-07,0.36682772636413574,1.0,10.735394873808929
4,4.0,5.0,10.0,2.5201606057303246e-07,0.27410459518432617,1.0,30.6421398114599
5,5.0,5.0,10.0,2.2769947083042167e-07,0.27855873107910156,1.0,65.13214884898106
6,6.0,5.0,10.0,0.0,0.46910524368286133,0.0,73.17629471419144
7,7.0,5.0,11.0,2.908112626312388e-08,0.41465091705322266,1.0,64.56502945605531
8,8.0,5.0,10.0,3.845754628412891e-06,0.37586188316345215,1.0,16.318024311387635
9,9.0,5.0,8.0,0.0,0.2645401954650879,0.0,66.53962026504904
10,0.0,10.0,21.0,5.571722057859899e-05,1.1522128582000732,1.0,58.667164907991484
11,1.0,10.0,21.0,0.0,0.8274354934692383,0.0,94.08807908161707
12,2.0,10.0,15.0,8.924915445974739e-10,0.36014389991760254,1.0,96.1425576149452
13,3.0,10.0,19.0,1.9763284634083288e-07,0.6221733093261719,1.0,54.1177187237313
14,4.0,10.0,20.0,0.0,0.7586038112640381,0.0,38.339109693709304
15,5.0,10.0,21.0,1.434923893571559e-08,0.7154459953308105,1.0,38.15520848674245
16,6.0,10.0,17.0,0.0,0.6311442852020264,1.0,73.7788680068531
17,7.0,10.0,21.0,0.0,0.9593954086303711,0.0,86.35520194717978
18,8.0,10.0,20.0,8.832610195606434e-08,0.6524462699890137,3.0,26.8777605710494
19,9.0,10.0,21.0,6.260460519080212e-08,0.9955930709838867,1.0,32.989892137778966
20,0.0,20.0,35.0,2.4455986358943794e-07,1.872567892074585,1.0,42.94070735972056
21,1.0,20.0,35.0,9.455165370272452e-08,1.452660083770752,1.0,53.039143427751824
22,2.0,20.0,35.0,0.0,1.736985445022583,0.0,40.34268149327836
23,3.0,20.0,38.0,1.985105335481906e-07,1.9547169208526611,1.0,32.91510235071652
24,4.0,20.0,40.0,2.0367470683444843e-05,2.214689016342163,1.0,102.27387018051455
25,5.0,20.0,36.0,0.0,1.9121301174163818,0.0,30.17864178015134
26,6.0,20.0,35.0,0.0,2.011869192123413,1.0,18.1829724316343
27,7.0,20.0,38.0,0.0,2.362579822540283,0.0,22.450488491459758
28,8.0,20.0,39.0,0.0,2.436155080795288,0.0,81.23905089739279
29,9.0,20.0,35.0,1.0161081507581312e-08,1.4098296165466309,1.0,73.40123238649315
30,0.0,30.0,52.0,0.0,3.8501176834106445,0.0,77.68079032706878
31,1.0,30.0,58.0,1.617244477233904e-06,5.6532676219940186,1.0,100.72260638463486
32,2.0,30.0,49.0,0.0,3.3516106605529785,0.0,88.5631454009253
33,3.0,30.0,54.0,0.0,4.332174062728882,0.0,112.71080999158399
34,4.0,30.0,53.0,1.2898535827772503e-08,3.8613054752349854,1.0,81.2081793788211
35,5.0,30.0,56.0,0.0,4.428029298782349,0.0,34.82407831492137
36,6.0,30.0,60.0,1.3839467820349418e-08,5.200618028640747,1.0,75.58603567825328
37,7.0,30.0,57.0,6.98236225638518e-07,4.528981447219849,1.0,94.51277461680355
38,8.0,30.0,54.0,0.0,4.4552202224731445,0.0,82.19723979535384
39,9.0,30.0,58.0,1.7327504297345647e-08,4.870501279830933,1.0,36.94115626337377
40,0.0,50.0,83.0,0.0,11.668798923492432,0.0,56.32395884010013
41,1.0,50.0,82.0,0.0,11.8446364402771,0.0,34.2251672376845
42,2.0,50.0,83.0,0.0,11.92008924484253,0.0,88.58017841324373
43,3.0,50.0,83.0,0.0,12.044280290603638,1.0,37.84441071520125
44,4.0,50.0,90.0,0.0,17.41807770729065,0.0,93.60347860974383
45,5.0,50.0,86.0,2.311657174954897e-05,13.847990989685059,1.0,109.51581808202982
46,6.0,50.0,87.0,0.0,15.712929248809814,0.0,63.81995723933002
47,7.0,50.0,79.0,2.0007512850533214e-07,10.192541122436523,1.0,80.63111143160897
48,8.0,50.0,91.0,3.252944271796042e-05,15.122087240219116,1.0,102.33776687637297
49,9.0,50.0,91.0,2.055994182189952e-06,15.228174448013306,1.0,61.67440045571843
50,0.0,80.0,127.0,0.0,38.41236090660095,0.0,32.745331055160634
