,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,0.0,7.3763391971588135,1235.0,219.8623760471677
1,1.0,5.0,11.0,5.747904018333736e-07,1.358694076538086,1355.0,196.15064871311847
2,2.0,5.0,11.0,1.3312013547956968e-07,2.1878771781921387,143.0,229.38150771815688
3,3.0,5.0,9.0,1.2969949326105794e-05,2.0073559284210205,612.0,216.05638108708808
4,4.0,5.0,10.0,3.748532820340346e-05,0.8720428943634033,18.0,183.66776131517724
5,5.0,5.0,10.0,4.5727168858433987e-07,0.8281030654907227,95.0,219.6577152923228
6,6.0,5.0,10.0,1.1412291663266337e-07,1.075268030166626,121.0,254.80456179007965
7,7.0,5.0,11.0,7.070449453940584e-10,1.7256391048431396,114.0,205.63005554927315
8,8.0,5.0,10.0,1.778498389853304e-07,1.1089529991149902,643.0,212.45916434372776
9,9.0,5.0,8.0,9.391668246936229e-05,0.9100291728973389,401.0,186.15203257462036
10,0.0,10.0,21.0,1.5104606914658232e-05,4.041275978088379,972.0,303.4893748943657
11,1.0,10.0,21.0,5.868451305292953e-07,7.933825969696045,1873.0,306.2427696691226
12,2.0,10.0,15.0,1.3463948319962828e-06,23.86211085319519,1009.0,351.0136584242654
13,3.0,10.0,19.0,0.0,18.94043207168579,2278.0,309.8045269636848
14,4.0,10.0,20.0,0.0,5.318103075027466,1064.0,332.6638610847109
15,5.0,10.0,21.0,3.709248444544409e-08,4.43707799911499,1367.0,331.00491056883504
16,6.0,10.0,17.0,1.2296665563068928e-06,19.408730030059814,2228.0,274.5870062111934
17,7.0,10.0,21.0,1.0285263044693068e-05,20.121591091156006,920.0,313.2680477101084
18,8.0,10.0,20.0,6.377994134640797e-07,17.45292592048645,1441.0,339.37487583934046
19,9.0,10.0,21.0,0.0,2.99550199508667,508.0,340.1960128828998
20,0.0,20.0,35.0,0.0,53.34208583831787,8428.0,447.0297108746865
21,1.0,20.0,35.0,0.0,377.309947013855,27538.0,405.9593735826901
22,2.0,20.0,35.0,0.0,31.16722798347473,4418.0,439.8877795358849
23,3.0,20.0,38.0,0.0,32.92944097518921,2645.0,447.5017427749948
24,4.0,20.0,40.0,0.0,214.56385898590088,33012.0,479.83805357798155
25,5.0,20.0,36.0,4.8097867703610206e-09,3261.896950006485,172168.0,469.0706582677374
26,6.0,20.0,35.0,0.0,109.64380407333374,3054.0,404.84794897798906
27,7.0,20.0,38.0,0.0,40.26699900627136,1663.0,478.931715094922
28,8.0,20.0,39.0,3.120844770510908e-06,180.5807909965515,3441.0,508.205693564153
29,9.0,20.0,35.0,0.0,150.4287919998169,5648.0,426.6090157918353
30,0.0,30.0,52.0,6.800939885324233e-07,174.32652688026428,5872.0,635.2376074691213
31,1.0,30.0,58.0,0.0,1836.6346988677979,41500.0,582.2819173642331
32,2.0,30.0,49.0,7.803369986429453e-08,330.58605909347534,20603.0,592.4098603552025
33,3.0,30.0,54.0,0.0,1671.2282309532166,176798.0,581.12366260297
34,4.0,30.0,53.0,1.7503418534558747e-07,2444.724338054657,95700.0,568.1909834903884
35,5.0,30.0,56.0,0.01817403009936975,3600.133363008499,106450.0,610.227462630342
36,6.0,30.0,60.0,0.0,97.48560094833374,2813.0,617.8504357758654
37,7.0,30.0,57.0,7.859344912939949e-07,2409.999176979065,133134.0,566.8286455745463
38,8.0,30.0,54.0,2.981179479894947e-07,543.9991829395294,3638.0,538.8133291625003
39,9.0,30.0,58.0,0.0,1445.8744540214539,51112.0,602.2028804021974
40,0.0,50.0,83.0,0.018290393824612797,3600.386955976486,57238.0,727.336391697215
41,1.0,50.0,82.0,0.009886589337989785,3600.362277984619,116684.0,778.9855919727821
42,2.0,50.0,83.0,0.0638538599408101,3600.3518970012665,88181.0,810.1470446172503
43,3.0,50.0,83.0,0.035331508367516515,3600.323040008545,87860.0,804.6039129628107
44,4.0,50.0,90.0,0.017628190507435405,3600.388463973999,74756.0,736.8456705788383
45,5.0,50.0,86.0,0.043180382430447896,3600.294154882431,87971.0,756.4758909053936
46,6.0,50.0,87.0,0.03810712281105771,3600.3618149757385,91872.0,787.3907228563755
47,7.0,50.0,79.0,0.008932580629442386,3600.407233953476,49274.0,742.3725503762253
48,8.0,50.0,91.0,0.02013265616774233,3600.4337520599365,104544.0,775.5740940482497
49,9.0,50.0,91.0,0.030227767443574336,3601.843845844269,65704.0,714.531171058276
50,0.0,80.0,127.0,0.1810435390228391,3601.258271932602,78308.0,1139.8857634467433
51,1.0,80.0,125.0,0.0646019151795717,3600.713193178177,63907.0,1040.5312962644775
52,2.0,80.0,145.0,0.03495203487034958,3601.056554079056,76118.0,999.0533496139624
53,3.0,80.0,135.0,0.05863180484869631,3600.795875787735,62973.0,1082.173359029659
54,4.0,80.0,135.0,0.09260830508212639,3601.075671195984,70897.0,993.3927850580743
55,5.0,80.0,142.0,0.09826780383741972,3601.7154891490936,79748.0,1046.2682742075153
56,6.0,80.0,137.0,0.052301427212542814,3600.7987880706787,72802.0,1038.580342293789
57,7.0,80.0,127.0,0.025342984149820426,3600.693259000778,65544.0,979.825932037538
58,8.0,80.0,139.0,0.11830084646460892,3600.7864577770233,136505.0,1100.18871585109
59,9.0,80.0,138.0,0.030838093761924364,3600.8156480789185,81269.0,986.9029946943551
