,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,8.0,50.0,91.0,1.1649913001915018e-08,603.4775841236115,24655.0,759.6572288554866
1,9.0,50.0,91.0,1.1582592109646178e-07,488.5247423648834,10363.0,697.2686966043868
2,0.0,80.0,127.0,1.762981760439493e-05,1976.0072391033173,60731.0,942.7818637453746
3,1.0,80.0,125.0,0.01283039723254017,3600.69970870018,114363.0,986.496870261451
4,2.0,80.0,145.0,5.636975330696611e-05,2467.260547399521,58844.0,968.0927886892998
5,3.0,80.0,135.0,0.00543637652635432,3601.132350206375,127153.0,1026.516151427092
6,4.0,80.0,135.0,0.011855560458221755,3600.9103543758392,98258.0,909.5480185017598
7,5.0,80.0,142.0,0.017713294719812714,3600.8744580745697,99503.0,966.5063411875483
8,6.0,80.0,137.0,1.6775292616192552e-05,2730.7230746746063,72527.0,993.051750663963
9,7.0,80.0,127.0,2.798195639623923e-05,2327.623498916626,82303.0,959.6539844308072
10,8.0,80.0,139.0,0.017330743272057806,3600.847759962082,127018.0,986.9900234704058
11,9.0,80.0,138.0,0.0008290305133051764,3600.7342591285706,83622.0,961.4607880164315
