,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,80.0,127.0,0.1810435390228391,3600.7757313251495,78391.0,1139.8857634467433
1,1.0,80.0,125.0,0.06436841981860213,3600.9071972370148,70520.0,1040.5312962644775
2,2.0,80.0,145.0,0.03322075496926329,3600.9211757183075,63876.0,996.071350997566
3,3.0,80.0,135.0,0.12341816034123182,3600.799884080887,85412.0,1156.6193601931766
4,4.0,80.0,135.0,0.08392166313145452,3600.666370868683,66987.0,981.7762398503643
5,5.0,80.0,142.0,0.06590729495973839,3600.863659143448,94958.0,1010.8066350123662
6,6.0,80.0,137.0,0.039136440250346134,3600.7384593486786,94012.0,1027.5827738226924
7,7.0,80.0,127.0,0.039140914675035346,3600.6974577903748,77112.0,995.8192564165845
8,8.0,80.0,139.0,0.02887811695528524,3600.7625682353973,112159.0,999.6645731670121
9,9.0,80.0,138.0,0.07164401100248727,3600.801760196686,68211.0,1022.2746888203804
