,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,1.3984787250753044e-08,10.955240964889526,958.0,219.86237910123555
1,1.0,5.0,11.0,3.514246392019352e-05,2.0518040657043457,70.0,196.1506070856309
2,2.0,5.0,11.0,3.0240745366400077e-07,2.8172309398651123,619.0,229.38154300102192
3,3.0,5.0,9.0,0.0,1.9264090061187744,338.0,216.05357943611614
4,4.0,5.0,10.0,0.0,1.223228931427002,437.0,183.66771636306265
5,5.0,5.0,10.0,6.581452072120928e-05,1.2736051082611084,141.0,219.67195715551182
6,6.0,5.0,10.0,1.2371118220001007e-06,1.3551158905029297,151.0,254.80459526340178
7,7.0,5.0,11.0,0.0,1.8135859966278076,95.0,205.63005279183446
8,8.0,5.0,10.0,1.7101727825898806e-07,1.2438459396362305,555.0,212.4591610039135
9,9.0,5.0,8.0,9.414317830212787e-05,1.2116649150848389,453.0,186.1520499398395
10,0.0,10.0,21.0,0.0,8.84156084060669,1018.0,303.48925647630006
11,1.0,10.0,21.0,0.0,29.67313003540039,1363.0,306.2427204456958
12,2.0,10.0,15.0,0.0,39.87880182266235,1122.0,351.013565752399
13,3.0,10.0,19.0,1.4728715320067381e-08,39.61135697364807,1943.0,309.80453871267326
14,4.0,10.0,20.0,0.0,10.719282150268555,1801.0,332.6638390405835
15,5.0,10.0,21.0,0.0,7.32325291633606,876.0,331.0049125345352
16,6.0,10.0,17.0,1.5206857439679013e-05,26.234184980392456,2686.0,274.5870237893081
17,7.0,10.0,21.0,4.0476400810833463e-07,25.466825008392334,1043.0,313.2680474378695
18,8.0,10.0,20.0,4.979786253042627e-10,53.02990913391113,967.0,339.37479924059926
19,9.0,10.0,21.0,0.0,6.57021689414978,1000.0,340.1959959093324
20,0.0,20.0,35.0,0.0,387.33708691596985,9506.0,447.0297085066446
21,1.0,20.0,35.0,6.987438170231059e-08,1026.3258318901062,38615.0,405.9594313011081
22,2.0,20.0,35.0,0.0,108.7173810005188,3632.0,439.8878203912692
23,3.0,20.0,38.0,0.0,140.39403700828552,2955.0,447.50174881345606
24,4.0,20.0,40.0,0.0,933.1906509399414,39525.0,479.8380634088465
25,5.0,20.0,36.0,0.09494777233900095,3600.281972885132,62263.0,496.43616480583273
26,6.0,20.0,35.0,0.0,218.72955989837646,3737.0,404.8479761246279
27,7.0,20.0,38.0,2.789724023920855e-06,110.27157688140869,1196.0,478.9316984467581
28,8.0,20.0,39.0,2.9981293378163354e-06,344.20483803749084,6902.0,508.2042854897718
29,9.0,20.0,35.0,3.945955609958912e-05,297.5029990673065,9875.0,426.60944724137056
30,0.0,30.0,52.0,1.8706882291318683e-06,426.85677194595337,9664.0,635.2378769893959
31,1.0,30.0,58.0,1.9613225385466553e-05,3199.597972869873,134699.0,582.2819969954455
32,2.0,30.0,49.0,0.0,1040.29403090477,50681.0,592.4098753527826
33,3.0,30.0,54.0,0.008020046077504405,3601.129503965378,117083.0,581.3921937199136
34,4.0,30.0,53.0,0.014029042652048726,3601.214408159256,88912.0,569.2741739208552
35,5.0,30.0,56.0,0.08680321949099071,3601.1839809417725,84288.0,642.9812973415058
36,6.0,30.0,60.0,9.997876731298115e-05,341.4841239452362,4056.0,617.8504179329724
37,7.0,30.0,57.0,0.03679938627530565,3601.372777938843,43977.0,573.9085105718427
38,8.0,30.0,54.0,3.10996484979163e-08,449.46294808387756,8542.0,538.8131668492467
39,9.0,30.0,58.0,0.006406010228054599,3601.4212028980255,93636.0,602.2546891568127
40,0.0,50.0,83.0,0.20495385142021635,3604.624118089676,50027.0,893.131201262616
41,1.0,50.0,82.0,0.0378366494428392,3604.769143104553,42922.0,798.7589222691248
42,2.0,50.0,83.0,0.08142009057903894,3606.458127975464,20680.0,823.3326570464138
43,3.0,50.0,83.0,0.13503180036957457,3610.7937898635864,18922.0,897.2126294620464
44,4.0,50.0,90.0,0.13763156559116693,3605.7846479415894,29571.0,839.207598315153
45,5.0,50.0,86.0,0.08526817483388315,3604.999135017395,23664.0,786.6351157692516
46,6.0,50.0,87.0,0.4601940663472744,3600.905888080597,17344.0,1395.2418482650883
47,7.0,50.0,79.0,0.6805173896112093,3605.605161190033,17341.0,2276.6081675713485
48,8.0,50.0,91.0,0.11663576655768745,3605.6234970092773,30459.0,856.2226054137036
49,9.0,50.0,91.0,0.20457948258004954,3600.8666779994965,15432.0,870.2226601591893
