,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,0.0,2.964063882827759,267.0,195.265423005724
1,1.0,5.0,11.0,3.564428182727107e-09,8.05318284034729,1855.0,167.384309069215
2,2.0,5.0,11.0,2.7014956400794047e-08,1.7105920314788818,238.0,198.10906101584038
3,3.0,5.0,9.0,0.0,1.9836554527282715,166.0,200.37971166239203
4,4.0,5.0,10.0,6.765286811339313e-09,1.734894037246704,207.0,163.64111424157306
5,5.0,5.0,10.0,2.643344775789608e-07,1.1993467807769775,6.0,196.72034501243064
6,6.0,5.0,10.0,1.8269127343759704e-07,1.3238565921783447,189.0,238.37315603962313
7,7.0,5.0,11.0,2.8568945183262606e-07,2.3712635040283203,218.0,177.96161907109126
8,8.0,5.0,10.0,4.031085098266266e-05,1.2061126232147217,63.0,195.98229822995418
9,9.0,5.0,8.0,1.5754465248160334e-06,2.078076124191284,465.0,176.0815202453795
10,0.0,10.0,21.0,0.0,12.536760568618774,512.0,270.5580521881582
11,1.0,10.0,21.0,0.0,13.523000001907349,328.0,287.64117815354126
12,2.0,10.0,15.0,0.0,21.954768419265747,744.0,338.9597167620976
13,3.0,10.0,19.0,0.0,8.936424493789673,391.0,281.26628671788905
14,4.0,10.0,20.0,2.7441020348765792e-06,7.854644298553467,137.0,304.9949602573377
15,5.0,10.0,21.0,0.0,11.011711835861206,237.0,323.51482228838853
16,6.0,10.0,17.0,0.0,8.00910758972168,579.0,251.55894073677814
17,7.0,10.0,21.0,9.146525119576983e-05,11.660698175430298,368.0,285.2669776790127
18,8.0,10.0,20.0,6.323447913096332e-07,27.681865215301514,539.0,325.9139984469192
19,9.0,10.0,21.0,0.0,11.105955600738525,364.0,316.2911496308081
20,0.0,20.0,35.0,7.207487264517495e-05,135.64471769332886,2316.0,413.54507938008004
21,1.0,20.0,35.0,4.359660003143945e-08,225.89169836044312,7210.0,389.4639384778737
22,2.0,20.0,35.0,4.692069699765112e-06,85.08890509605408,1884.0,419.3443469323465
23,3.0,20.0,38.0,0.0,61.821852684020996,243.0,421.2417905063496
24,4.0,20.0,40.0,7.559952734204261e-05,224.47299647331238,3204.0,459.66885431578913
25,5.0,20.0,36.0,0.0,154.99795389175415,1831.0,452.40486278915006
26,6.0,20.0,35.0,7.777848252737062e-07,58.205856800079346,1031.0,376.6458782891998
27,7.0,20.0,38.0,6.006818755078988e-07,129.09815788269043,1008.0,461.74215010884905
28,8.0,20.0,39.0,9.006541049440433e-08,141.33038687705994,1832.0,486.40678320443214
29,9.0,20.0,35.0,1.7467381371941894e-05,105.65138101577759,1374.0,394.28590368140516
30,0.0,30.0,52.0,2.3997174243115166e-05,246.51438212394714,2360.0,628.899461286827
31,1.0,30.0,58.0,0.0,320.82587695121765,2821.0,571.7174347778922
32,2.0,30.0,49.0,3.9124479199183223e-05,255.77541971206665,1410.0,583.4839831494401
33,3.0,30.0,54.0,1.91568682569281e-06,354.9602789878845,3525.0,570.7805036659586
34,4.0,30.0,53.0,8.042362670802772e-05,330.1499524116516,2498.0,559.0205188557583
35,5.0,30.0,56.0,4.8230337023114e-05,464.1797091960907,9220.0,595.7047710268535
36,6.0,30.0,60.0,3.7106182851743255e-05,283.6012907028198,2215.0,611.7945105045043
37,7.0,30.0,57.0,0.0,639.965357542038,13414.0,554.7996231089824
38,8.0,30.0,54.0,2.4319346228289186e-07,321.4871428012848,958.0,532.5102645298688
39,9.0,30.0,58.0,2.391325329441685e-07,515.7221758365631,5589.0,593.4495773483682
40,0.0,50.0,83.0,3.885577439429288e-06,1667.3248279094696,23584.0,710.6164177160593
41,1.0,50.0,82.0,2.9693843403181524e-07,1278.090993642807,22771.0,770.2138129128892
42,2.0,50.0,83.0,0.011899136585333906,3605.129667043686,87470.0,773.3371986061451
43,3.0,50.0,83.0,3.846786147796292e-05,903.1998250484467,4076.0,778.3695562756461
44,4.0,50.0,90.0,1.8942505021271888e-05,1860.3165090084076,27152.0,725.1067469246664
45,5.0,50.0,86.0,4.803429427469304e-07,1541.4322674274445,21006.0,728.6364230682773
46,6.0,50.0,87.0,1.5408958899872935e-05,2168.1207778453827,31458.0,758.0188964284453
47,7.0,50.0,79.0,3.168654204572517e-05,1277.0365815162659,18541.0,727.5295120954191
0,8.0,50.0,91.0,1.1649913001915018e-08,603.4775841236115,24655.0,759.6572288554866
0,9.0,50.0,91.0,0.0,1439.3560824394226,8269.0,697.2686158425977
